Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"196,00","196,00","0,00",Eur / Tm.,,03-02-2014
Cereales,Cebada,"171,00","169,00","-2,00",Eur / Tm.,,03-02-2014
Cereales,Trigo pienso,"189,00","189,00","0,00",Eur / Tm.,,03-02-2014
Cereales,Avena,"161,00","160,00","-1,00",Eur / Tm.,,03-02-2014
Cereales,Centeno,"161,00","160,00","-1,00",Eur / Tm.,,03-02-2014
Cereales,Maíz,"177,00","177,00","0,00",Eur / Tm.,,03-02-2014
Leguminosas,Garbanzo pedrosillano,"650,00","650,00","0,00",Eur / Tm.,,03-02-2014
Leguminosas,Lenteja de Salamanca,"560,00","560,00","0,00",Eur / Tm.,,03-02-2014
Leguminosas,Lenteja armuña D.O.,"860,00","860,00","0,00",Eur / Tm.,,03-02-2014
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,03-02-2014
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,03-02-2014
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,03-02-2014
Oleaginosas,Guisantes,"0,00","0,00","0,00",Eur / Tm.,,03-02-2014
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,03-02-2014
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,03-02-2014
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,03-02-2014
Forrajes,Paja paquete grande,"39,00","39,00","0,00",Eur / Tm.,,03-02-2014
Lechazo,Extra,"4,00","4,10","0,10",Eur / Kg. Vivo,,03-02-2014
Lechazo,Hasta 11 Kg,"3,50","3,70","0,20",Eur / Kg. Vivo,,03-02-2014
Lechazo,"11,01 a 13 KG.","3,40","3,50","0,10",Eur / Kg. Vivo,,03-02-2014
Lechazo,"13,01 a 15 KG.","3,10","3,20","0,10",Eur / Kg. Vivo,,03-02-2014
Cordero,"15,01 a 19 KG.","2,85","2,85","0,00",Eur / Kg. Vivo,,03-02-2014
Cordero,"19,01 a 23 KG.","2,41","2,41","0,00",Eur / Kg. Vivo,,03-02-2014
Cordero,"23,01 a 25,49 KG.","2,30","2,30","0,00",Eur / Kg. Vivo,,03-02-2014
Cordero,"25,5 a 28 KG.","2,20","2,20","0,00",Eur / Kg. Vivo,,03-02-2014
Cordero,"28,01 a 34 KG.","2,00","2,00","0,00",Eur / Kg. Vivo,,03-02-2014
Oveja,Sacrificio,"7,00 / 25,00","7,00 / 25,00","0,00",Eur / Unidad,,03-02-2014
Porcino blanco,Selecto,"1,22 / 1,23","1,22 / 1,23","0,00",Eur / Kg. Vivo,,03-02-2014
Porcino blanco,Normal,"1,21 / 1,22","1,21 / 1,22","0,00",Eur / Kg. Vivo,,03-02-2014
Oveja,Vida,"49,00 / 61,00","49,00 / 61,00","0,00",Eur / Unidad,,03-02-2014
Porcino blanco,Graso,"1,17 / 1,18","1,17 / 1,18","0,00",Eur / Kg. Vivo,,03-02-2014
Porcino blanco,Cerdas,"0,74 / 0,77","0,73 / 0,76","-0,01",Eur / Kg. Vivo,,03-02-2014
Lechón,Selecto,"59,00","60,00","1,00",Eur / Unidad,,03-02-2014
Tostón, 4 A 6 Kg,"30,00","29,00","-1,00",Eur / Unidad,,03-02-2014
Tostón,"6,01 A 8 Kg","32,00","31,00","-1,00",Eur / Unidad,,03-02-2014
Porcino Ibérico,Bellota 160-170 Kg,"2,75 / 2,96","0,00 / 0,00","-2,75",Eur / Kg. Vivo,,03-02-2014
Porcino Ibérico,Bellota 50% IB,"0,00 / 0,00","2,75 / 2,96","2,75",Eur / Kg. Vivo,,03-02-2014
Porcino Ibérico,Recebo,"0,00 / 0,00","2,51 / 2,75","2,51",Eur / Kg. Vivo,,03-02-2014
