Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"256,00","259,00","3,00",Eur / Tm.,,19-11-2012
Cereales,Trigo pienso,"254,00","257,00","3,00",Eur / Tm.,,19-11-2012
Cereales,Cebada,"239,00","241,00","2,00",Eur / Tm.,,19-11-2012
Cereales,Avena,"241,00","243,00","2,00",Eur / Tm.,,19-11-2012
Cereales,Centeno,"237,00","239,00","2,00",Eur / Tm.,,19-11-2012
Cereales,Maíz,"244,00","247,00","3,00",Eur / Tm.,,19-11-2012
Leguminosas,Garbanzo pedrosillano,"702,00","700,00","-2,00",Eur / Tm.,,19-11-2012
Leguminosas,Lenteja de Salamanca,"1070,00","1070,00","0,00",Eur / Tm.,,19-11-2012
Leguminosas,Lenteja armuña D.O.,"1270,00","1270,00","0,00",Eur / Tm.,,19-11-2012
Oleaginosas,Girasol,"503,00","0,00","-503,00",Eur / Tm.,,19-11-2012
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,19-11-2012
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,19-11-2012
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,19-11-2012
Forrajes,Paja paquete pequeño,"55,00","55,00","0,00",Eur / Tm.,,19-11-2012
Forrajes,Paja paquete grande,"52,00","52,00","0,00",Eur / Tm.,,19-11-2012
Lechazo,Extra,"6,00","5,75","-0,25",Eur / Kg. Vivo,,19-11-2012
Lechazo,Hasta 11 Kg,"5,15","4,90","-0,25",Eur / Kg. Vivo,,19-11-2012
Lechazo,"11,01 a 13 KG.","4,69","4,44","-0,25",Eur / Kg. Vivo,,19-11-2012
Lechazo,"13,01 a 15 KG.","4,30","4,05","-0,25",Eur / Kg. Vivo,,19-11-2012
Cordero,"15,01 a 19 KG.","3,65","3,65","0,00",Eur / Kg. Vivo,,19-11-2012
Cordero,"19,01 a 23 KG.","3,31","3,31","0,00",Eur / Kg. Vivo,,19-11-2012
Cordero,"23,01 a 25,49 KG.","3,20","3,20","0,00",Eur / Kg. Vivo,,19-11-2012
Cordero,"25,5 a 28 KG.","3,10","3,10","0,00",Eur / Kg. Vivo,,19-11-2012
Cordero,"28,01 a 34 KG.","2,80","2,80","0,00",Eur / Kg. Vivo,,19-11-2012
Oveja,Sacrificio,"7,00 / 25,00","7,00 / 25,00","0,00",Eur / Unidad,,19-11-2012
Porcino blanco,Selecto,"1,38 / 1,39","1,37 / 1,38","-0,01",Eur / Kg. Vivo,,19-11-2012
Porcino blanco,Normal,"1,37 / 1,38","1,36 / 1,37","-0,01",Eur / Kg. Vivo,,19-11-2012
Oveja,Vida,"49,00 / 61,00","49,00 / 61,00","0,00",Eur / Unidad,,19-11-2012
Porcino blanco,Graso,"1,33 / 1,34","1,32 / 1,33","-0,01",Eur / Kg. Vivo,,19-11-2012
Porcino blanco,Cerdas,"0,85 / 0,88","0,85 / 0,88","0,00",Eur / Kg. Vivo,,19-11-2012
Lechón,Selecto,"48,00","48,00","0,00",Eur / Unidad,,19-11-2012
Tostón, 4 A 6 Kg,"27,00","27,00","0,00",Eur / Unidad,,19-11-2012
Tostón,"6,01 A 8 Kg","29,00","29,00","0,00",Eur / Unidad,,19-11-2012
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,19-11-2012
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,19-11-2012
Porcino Ibérico,Pienso 150 Kg,"1,72 / 1,78","1,72 / 1,78","0,00",Eur / Kg. Vivo,,19-11-2012
Porcino Ibérico,Pienso 150 Kg extensivo,"1,76 / 1,82","1,76 / 1,82","0,00",Eur / Kg. Vivo,,19-11-2012
Porcino Ibérico,Lechones Hasta 23 Kg,"2,58 / 2,70","2,61 / 2,73","0,03",Eur / Kg. Vivo,,19-11-2012
Porcino Ibérico,Marranos 30 - 60 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,19-11-2012
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,19-11-2012
Porcino Ibérico,Tostones 5 - 7 Kg,"26,00 / 28,00","26,00 / 28,00","0,00",Eur / Kg. Vivo,,19-11-2012
Ternero cruzado,Extra macho,"2,72","2,72","0,00",Eur / Kg. Vivo,,19-11-2012
Ternero cruzado,Extra hembra,"2,02","2,02","0,00",Eur / Kg. Vivo,,19-11-2012
Porcino Ibérico,Reproductoras,"140,00 / 195,00","140,00 / 195,00","0,00",Eur / Kg. Vivo,,19-11-2012
Ternero cruzado,Primera macho,"2,53","2,53","0,00",Eur / Kg. Vivo,,19-11-2012
Ternero cruzado,Primera hembra,"1,93","1,93","0,00",Eur / Kg. Vivo,,19-11-2012
Ternero cruzado,Segunda macho,"2,11","2,11","0,00",Eur / Kg. Vivo,,19-11-2012
Ternero cruzado,Segunda hembra,"1,55","1,55","0,00",Eur / Kg. Vivo,,19-11-2012
Ternero del país,Macho,"1,59","1,59","0,00",Eur / Kg. Vivo,,19-11-2012
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,19-11-2012
Bovino menor 12 meses,Especial macho,"4,13","4,16","0,03",Eur / Kg. Canal,,19-11-2012
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"4,17","4,20","0,03",Eur / Kg. Canal,,19-11-2012
Bovino menor 12 meses,Extra macho,"4,07","4,10","0,03",Eur / Kg. Canal,,19-11-2012
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"4,11","4,14","0,03",Eur / Kg. Canal,,19-11-2012
