Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"190,00","192,00","2,00",Eur / Tm.,,30-03-2015
Cereales,Trigo pienso,"183,00","185,00","2,00",Eur / Tm.,,30-03-2015
Cereales,Cebada,"176,00","177,00","1,00",Eur / Tm.,,30-03-2015
Cereales,Avena,"186,00","188,00","2,00",Eur / Tm.,,30-03-2015
Cereales,Centeno,"166,00","167,00","1,00",Eur / Tm.,,30-03-2015
Cereales,Maíz,"168,00","170,00","2,00",Eur / Tm.,,30-03-2015
Leguminosas,Garbanzo pedrosillano,"510,00","510,00","0,00",Eur / Tm.,,30-03-2015
Leguminosas,Lenteja de Salamanca,"780,00","780,00","0,00",Eur / Tm.,,30-03-2015
Leguminosas,Lenteja armuña D.O.,"1080,00","1080,00","0,00",Eur / Tm.,,30-03-2015
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,30-03-2015
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,30-03-2015
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,30-03-2015
Oleaginosas,Guisantes,"0,00","0,00","0,00",Eur / Tm.,,30-03-2015
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,30-03-2015
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,30-03-2015
Forrajes,Paja paquete pequeño,"0,00","0,00","0,00",Eur / Tm.,,30-03-2015
Forrajes,Paja paquete grande,"42,00","42,00","0,00",Eur / Tm.,,30-03-2015
Lechazo,Extra,"4,30","4,45","0,15",Eur / Kg. Vivo,,30-03-2015
Lechazo,Hasta 11 Kg,"3,70","3,90","0,20",Eur / Kg. Vivo,,30-03-2015
Lechazo,"11,01 a 13 KG.","3,60","3,70","0,10",Eur / Kg. Vivo,,30-03-2015
Lechazo,"13,01 a 15 KG.","3,25","3,35","0,10",Eur / Kg. Vivo,,30-03-2015
Cordero,"15,01 a 19 KG.","3,00","3,05","0,05",Eur / Kg. Vivo,,30-03-2015
Cordero,"19,01 a 23 KG.","2,56","2,61","0,05",Eur / Kg. Vivo,,30-03-2015
Cordero,"23,01 a 25,49 KG.","2,75","2,80","0,05",Eur / Kg. Vivo,,30-03-2015
Cordero,"25,5 a 28 KG.","2,60","2,65","0,05",Eur / Kg. Vivo,,30-03-2015
Cordero,"28,01 a 34 KG.","2,50","2,55","0,05",Eur / Kg. Vivo,,30-03-2015
Oveja,Sacrificio,"10,00 / 35,00","10,00 / 35,00","0,00",Eur / Unidad,,30-03-2015
Porcino blanco,Selecto,"1,15 / 1,16","1,15 / 1,16","0,00",Eur / Kg. Vivo,,30-03-2015
Oveja,Vida,"55,00 / 75,00","55,00 / 75,00","0,00",Eur / Unidad,,30-03-2015
Porcino blanco,Normal,"1,14 / 1,15","1,14 / 1,15","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino blanco,Graso,"1,10 / 1,11","1,10 / 1,11","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino blanco,Cerdas,"0,52 / 0,55","0,52 / 0,55","0,00",Eur / Kg. Vivo,,30-03-2015
Lechón,Selecto,"55,00","55,00","0,00",Eur / Unidad,,30-03-2015
Tostón, 4 A 6 Kg,"27,00","29,00","2,00",Eur / Unidad,,30-03-2015
Tostón,"6,01 A 8 Kg","29,00","31,00","2,00",Eur / Unidad,,30-03-2015
Porcino Ibérico,Bellota 50% IB,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Recebo,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Cebo de campo,"2,09 / 2,15","2,09 / 2,15","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Cebo,"2,01 / 2,07","2,01 / 2,07","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Lechones hasta 23 Kg (Gran partida),"3,09 / 3,21","3,19 / 3,31","0,10",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Lechones hasta 23 kg (Recogida),"2,76 / 2,88","2,86 / 2,98","0,10",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Marranos 30 - 60 Kg,"2,27 / 2,62","2,32 / 2,67","0,05",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,30-03-2015
Ternero cruzado,Extra macho,"0,00","0,00","0,00",Eur / Kg. Vivo,,30-03-2015
Ternero cruzado,Extra hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,30-03-2015
Ternero cruzado,Primera macho,"3,08","3,08","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Tostones (5 - 8 Kg),"21,00 / 23,00","23,00 / 25,00","2,00",Eur / Unidad,,30-03-2015
Ternero cruzado,Primera hembra,"2,56","2,56","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Tostones (9 - 12 Kg),"24,00 / 29,00","26,00 / 31,00","2,00",Eur / Unidad,,30-03-2015
Ternero cruzado,Segunda macho,"2,68","2,68","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Reproductoras < de 6 meses,"240,00 / 290,00","240,00 / 290,00","0,00",Eur / Unidad,,30-03-2015
Ternero cruzado,Segunda hembra,"2,41","2,41","0,00",Eur / Kg. Vivo,,30-03-2015
Porcino Ibérico,Reproductoras > de 6 meses,"395,00 / 445,00","395,00 / 445,00","0,00",Eur / Unidad,,30-03-2015
Ternero del país,Macho,"1,77","1,77","0,00",Eur / Kg. Vivo,,30-03-2015
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,30-03-2015
Bovino menor 12 meses,Especial macho,"4,07","4,07","0,00",Eur / Kg. Canal,,30-03-2015
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"4,26","4,23","-0,03",Eur / Kg. Canal,,30-03-2015
Bovino menor 12 meses,Extra macho,"4,01","4,01","0,00",Eur / Kg. Canal,,30-03-2015
