Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"249,00","248,00","-1,00",Eur / Tm.,,13-05-2013
Cereales,Trigo pienso,"247,00","246,00","-1,00",Eur / Tm.,,13-05-2013
Cereales,Cebada,"234,00","233,00","-1,00",Eur / Tm.,,13-05-2013
Cereales,Avena,"229,00","228,00","-1,00",Eur / Tm.,,13-05-2013
Cereales,Centeno,"227,00","226,00","-1,00",Eur / Tm.,,13-05-2013
Cereales,Maíz,"236,00","235,00","-1,00",Eur / Tm.,,13-05-2013
Leguminosas,Garbanzo pedrosillano,"600,00","600,00","0,00",Eur / Tm.,,13-05-2013
Leguminosas,Lenteja de Salamanca,"910,00","910,00","0,00",Eur / Tm.,,13-05-2013
Leguminosas,Lenteja armuña D.O.,"1110,00","1110,00","0,00",Eur / Tm.,,13-05-2013
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,13-05-2013
Oleaginosas,Colza,"0,00","0,00","0,00",Eur / Tm.,,13-05-2013
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,13-05-2013
Oleaginosas,Guisantes,"0,00","0,00","0,00",Eur / Tm.,,13-05-2013
Forrajes,Alfalfa empacada,"0,00","0,00","0,00",Eur / Tm.,,13-05-2013
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,13-05-2013
Forrajes,Paja paquete pequeño,"44,00","43,00","-1,00",Eur / Tm.,,13-05-2013
Forrajes,Paja paquete grande,"41,00","40,00","-1,00",Eur / Tm.,,13-05-2013
Lechazo,Extra,"4,80","4,90","0,10",Eur / Kg. Vivo,,13-05-2013
Lechazo,Hasta 11 Kg,"3,95","4,05","0,10",Eur / Kg. Vivo,,13-05-2013
Lechazo,"11,01 a 13 KG.","3,59","3,69","0,10",Eur / Kg. Vivo,,13-05-2013
Lechazo,"13,01 a 15 KG.","3,25","3,35","0,10",Eur / Kg. Vivo,,13-05-2013
Cordero,"15,01 a 19 KG.","2,75","2,80","0,05",Eur / Kg. Vivo,,13-05-2013
Cordero,"19,01 a 23 KG.","2,46","2,51","0,05",Eur / Kg. Vivo,,13-05-2013
Cordero,"23,01 a 25,49 KG.","2,35","2,40","0,05",Eur / Kg. Vivo,,13-05-2013
Cordero,"25,5 a 28 KG.","2,25","2,30","0,05",Eur / Kg. Vivo,,13-05-2013
Cordero,"28,01 a 34 KG.","2,00","2,05","0,05",Eur / Kg. Vivo,,13-05-2013
Oveja,Sacrificio,"7,00 / 25,00","7,00 / 25,00","0,00",Eur / Unidad,,13-05-2013
Porcino blanco,Selecto,"1,35 / 1,36","1,33 / 1,34","-0,02",Eur / Kg. Vivo,,13-05-2013
Oveja,Vida,"49,00 / 61,00","49,00 / 61,00","0,00",Eur / Unidad,,13-05-2013
Porcino blanco,Normal,"1,34 / 1,35","1,32 / 1,33","-0,02",Eur / Kg. Vivo,,13-05-2013
Porcino blanco,Graso,"1,30 / 1,31","1,28 / 1,29","-0,02",Eur / Kg. Vivo,,13-05-2013
Porcino blanco,Cerdas,"0,77 / 0,80","0,75 / 0,78","-0,02",Eur / Kg. Vivo,,13-05-2013
Lechón,Selecto,"56,00","53,00","-3,00",Eur / Unidad,,13-05-2013
Tostón, 4 A 6 Kg,"28,00","28,00","0,00",Eur / Unidad,,13-05-2013
Tostón,"6,01 A 8 Kg","30,00","30,00","0,00",Eur / Unidad,,13-05-2013
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,13-05-2013
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,13-05-2013
Porcino Ibérico,Pienso 150 Kg,"1,97 / 2,03","1,98 / 2,04","0,01",Eur / Kg. Vivo,,13-05-2013
Porcino Ibérico,Pienso 150 Kg extensivo,"2,01 / 2,07","2,03 / 2,09","0,02",Eur / Kg. Vivo,,13-05-2013
Porcino Ibérico,Lechones Hasta 23 Kg,"3,60 / 3,72","3,60 / 3,72","0,00",Eur / Kg. Vivo,,13-05-2013
Porcino Ibérico,Marranos 30 - 60 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,13-05-2013
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,13-05-2013
Porcino Ibérico,Tostones 5 - 7 Kg,"25,00 / 27,00","25,00 / 27,00","0,00",Eur / Kg. Vivo,,13-05-2013
Ternero cruzado,Extra macho,"0,00","0,00","0,00",Eur / Kg. Vivo,,13-05-2013
