Producto,Categoría,Anterior,Último,Diferencia,Medida,Tendencia,Fecha
Cereales,Trigo panificable,"186,00","204,00","18,00",Eur / Tm.,,16-08-2010
Cereales,Trigo pienso,"182,00","200,00","18,00",Eur / Tm.,,16-08-2010
Cereales,Cebada,"161,00","181,00","20,00",Eur / Tm.,,16-08-2010
Cereales,Avena,"159,00","179,00","20,00",Eur / Tm.,,16-08-2010
Cereales,Centeno,"157,00","177,00","20,00",Eur / Tm.,,16-08-2010
Cereales,Maíz,"202,00","222,00","20,00",Eur / Tm.,,16-08-2010
Leguminosas,Garbanzo pedrosillano,"500,00","500,00","0,00",Eur / Tm.,,16-08-2010
Leguminosas,Lenteja de Salamanca,"1180,00","1180,00","0,00",Eur / Tm.,,16-08-2010
Leguminosas,Lenteja armuña D.O.,"1380,00","1380,00","0,00",Eur / Tm.,,16-08-2010
Oleaginosas,Girasol,"0,00","0,00","0,00",Eur / Tm.,,16-08-2010
Forrajes,Forrajes (Avena),"0,00","0,00","0,00",Eur / Tm.,,16-08-2010
Forrajes,Alfalfa empacada,"137,00","135,00","-2,00",Eur / Tm.,,16-08-2010
Forrajes,Veza henificada,"0,00","0,00","0,00",Eur / Tm.,,16-08-2010
Forrajes,Paja paquete pequeño,"45,00","45,00","0,00",Eur / Tm.,,16-08-2010
Forrajes,Paja paquete grande,"42,00","42,00","0,00",Eur / Tm.,,16-08-2010
Lechazo,Hasta 11 Kg,"4,80","4,80","0,00",Eur / Kg. Vivo,,16-08-2010
Lechazo,"11,01 a 13 KG.","4,65","4,65","0,00",Eur / Kg. Vivo,,16-08-2010
Lechazo,"13,01 a 15 KG.","3,85","3,85","0,00",Eur / Kg. Vivo,,16-08-2010
Cordero,"15,01 a 19 KG.","2,65","2,65","0,00",Eur / Kg. Vivo,,16-08-2010
Cordero,"19,01 a 23 KG.","2,55","2,55","0,00",Eur / Kg. Vivo,,16-08-2010
Cordero,"23,01 a 25,49 KG.","2,25","2,25","0,00",Eur / Kg. Vivo,,16-08-2010
Cordero,"25,5 a 28 KG.","2,10","2,10","0,00",Eur / Kg. Vivo,,16-08-2010
Cordero,"28,01 a 34 KG.","1,95","1,95","0,00",Eur / Kg. Vivo,,16-08-2010
Porcino blanco,Selecto,"1,26 / 1,27","1,26 / 1,27","0,00",Eur / Kg. Vivo,,16-08-2010
Oveja,Sacrificio,"2,00 / 15,00","2,00 / 15,00","0,00",Eur / Unidad,,16-08-2010
Porcino blanco,Normal,"1,25 / 1,26","1,25 / 1,26","0,00",Eur / Kg. Vivo,,16-08-2010
Oveja,Vida,"54,00 / 66,00","54,00 / 66,00","0,00",Eur / Unidad,,16-08-2010
Porcino blanco,Graso,"1,27 / 1,28","1,27 / 1,28","0,00",Eur / Kg. Vivo,,16-08-2010
Porcino blanco,Cerdas,"0,57 / 0,60","0,57 / 0,60","0,00",Eur / Kg. Vivo,,16-08-2010
Lechón,Selecto,"37,00","37,00","0,00",Eur / Unidad,,16-08-2010
Tostón, 4 A 6 Kg,"25,00","25,00","0,00",Eur / Unidad,,16-08-2010
Tostón,"6,01 A 8 Kg","27,00","27,00","0,00",Eur / Unidad,,16-08-2010
Porcino Ibérico,Bellota 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,16-08-2010
Porcino Ibérico,Recebo 160-170 Kg,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,16-08-2010
Porcino Ibérico,Pienso 150 Kg,"1,48 / 1,54","1,48 / 1,54","0,00",Eur / Kg. Vivo,,16-08-2010
Porcino Ibérico,Pienso 150 Kg extensivo,"1,54 / 1,60","1,54 / 1,60","0,00",Eur / Kg. Vivo,,16-08-2010
Porcino Ibérico,Lechones Hasta 23 Kg,"2,08 / 2,20","2,06 / 2,18","-0,02",Eur / Kg. Vivo,,16-08-2010
Porcino Ibérico,Marranos 30 - 60 Kg,"1,86 / 1,96","1,86 / 1,96","0,00",Eur / Kg. Vivo,,16-08-2010
Porcino Ibérico,Primales,"0,00 / 0,00","0,00 / 0,00","0,00",Eur / Kg. Vivo,,16-08-2010
Porcino Ibérico,Tostones 5 - 7 Kg,"24,00 / 26,00","24,00 / 26,00","0,00",Eur / Kg. Vivo,,16-08-2010
Ternero cruzado,Extra macho,"2,60","2,57","-0,03",Eur / Kg. Vivo,,16-08-2010
Ternero cruzado,Extra hembra,"2,02","1,99","-0,03",Eur / Kg. Vivo,,16-08-2010
Porcino Ibérico,Reproductoras,"200,00 / 255,00","200,00 / 255,00","0,00",Eur / Kg. Vivo,,16-08-2010
Ternero cruzado,Primera macho,"2,44","2,41","-0,03",Eur / Kg. Vivo,,16-08-2010
Ternero cruzado,Primera hembra,"1,93","1,90","-0,03",Eur / Kg. Vivo,,16-08-2010
Ternero cruzado,Segunda macho,"2,02","1,99","-0,03",Eur / Kg. Vivo,,16-08-2010
Ternero cruzado,Segunda hembra,"1,55","1,52","-0,03",Eur / Kg. Vivo,,16-08-2010
Ternero del país,Macho,"1,50","1,47","-0,03",Eur / Kg. Vivo,,16-08-2010
Ternero del país,Hembra,"0,00","0,00","0,00",Eur / Kg. Vivo,,16-08-2010
Bovino menor 12 meses,Especial macho,"3,35","3,38","0,03",Eur / Kg. Canal,,16-08-2010
Bovino menor 12 meses,Especial hembra  de 180 a 220 Kg.,"3,42","3,45","0,03",Eur / Kg. Canal,,16-08-2010
Bovino menor 12 meses,Extra macho,"3,29","3,32","0,03",Eur / Kg. Canal,,16-08-2010
Bovino menor 12 meses,Extra hembra   de 180 a 220 Kg.,"3,36","3,39","0,03",Eur / Kg. Canal,,16-08-2010
Bovino menor 12 meses,Primera macho ,"3,11","3,14","0,03",Eur / Kg. Canal,,16-08-2010
Bovino menor 12 meses,Primera hembra   de 180 a 220 Kg.,"3,27","3,30","0,03",Eur / Kg. Canal,,16-08-2010
Bovino menor 12 meses,Segunda macho,"2,82","2,85","0,03",Eur / Kg. Canal,,16-08-2010
Bovino menor 12 meses,Segunda hembra  de 180 a 220 Kg.,"3,18","3,21","0,03",Eur / Kg. Canal,,16-08-2010
Ternera mayor 12 meses,Especial menor 270 Kg,"3,31","3,34","0,03",Eur / Kg. Canal,,16-08-2010
Ternera mayor 12 meses,Especial mayor 270 Kg,"3,22","3,25","0,03",Eur / Kg. Canal,,16-08-2010
Ternera mayor 12 meses,Extra menor  270 Kg,"3,28","3,31","0,03",Eur / Kg. Canal,,16-08-2010
Ternera mayor 12 meses,Extra mayor 270 Kg,"3,16","3,19","0,03",Eur / Kg. Canal,,16-08-2010
Ternera mayor 12 meses,Primera menor 270 Kg,"3,19","3,22","0,03",Eur / Kg. Canal,,16-08-2010
Ternera mayor 12 meses,Primera mayor  270 Kg,"3,07","3,10","0,03",Eur / Kg. Canal,,16-08-2010
Ternera mayor 12 meses,Segunda menor 270 Kg,"3,01","3,04","0,03",Eur / Kg. Canal,,16-08-2010
Ternera mayor 12 meses,segunda mayor  270 Kg,"2,89","2,92","0,03",Eur / Kg. Canal,,16-08-2010
Añojo,Especial menor 350 Kg,"3,24","3,27","0,03",Eur / Kg. Canal,,16-08-2010
Añojo,Especial mayor 350 Kg,"3,15","3,18","0,03",Eur / Kg. Canal,,16-08-2010
Añojo,Extra menor 350 Kg,"3,18","3,21","0,03",Eur / Kg. Canal,,16-08-2010
Añojo,Extra mayor 350 Kg,"3,09","3,12","0,03",Eur / Kg. Canal,,16-08-2010
Añojo,Primera menor 350 Kg,"3,06","3,09","0,03",Eur / Kg. Canal,,16-08-2010
Añojo,Primera mayor 350 Kg,"2,93","2,96","0,03",Eur / Kg. Canal,,16-08-2010
